Source,Destination,Address,City,State,Lat long of A,Lat long of B,Source Lat,Source Long,Dest Lat,Dest Long,Distance (km)
Zolo Coimbatore Warehouse,Zolo Aishwariyam,"Block-2, Flat No: H-3(Third Floor),VSK’s Aishwaryam Apartment,Athipalayam Road,Coimbatore 641035",Coimbatore,Tamil Nadu,"11.0848557, 76.9800751","11.0727077, 77.0185451",11.0848557,76.9800751,11.0727077,77.0185451,4.41
Zolo BLR_Singasandra WH,Zolo Vruksham,"Bearing Site No 20 and site No. 21, H.A Sanitary Board, Kodihalli, Bengaluru, Bengaluru Urban, Karnataka, 560075",Bangalore,Karnataka,"12.9476439, 77.70164869999999","12.8903965, 77.6273899",12.9476439,77.7016487,12.8903965,77.6273899,10.25
Zolo BLR_Singasandra WH,Zolo Melody,"BBMP Katha No. 20/1 New PID No. 68-104-20/1, 5th Cross Srinivagilu, EjipuraBengaluru, 560047",Bangalore,Karnataka,"12.9510265, 77.623268","12.8903965, 77.6273899",12.9510265,77.623268,12.8903965,77.6273899,6.72
Zolo BLR_Singasandra WH,Zolo Century,"12th Cross Road,Kasavanahalli,Karnataka,Bangalore - 560035",Bangalore,Karnataka,"12.9078054, 77.680345","12.8903965, 77.6273899",12.9078054,77.680345,12.8903965,77.6273899,6.06
Zolo BLR_Singasandra WH,Zolo Harmony,"Bearing site No.7, PID No.68-105-7/5, 6th Cross Srinivagilu village Begur Hobli,Ejipura, Bengaluru, 560047",Bangalore,Karnataka,"13.0334101, 77.65622580000002","12.8903965, 77.6273899",13.0334101,77.6562258,12.8903965,77.6273899,16.13
Zolo BLR_Singasandra WH,Zolo Platinum City,"Khatha No.2, H.M. T Main road, Peenya Village, Yeshwanthpur, Bengaluru, 560022",Bangalore,Karnataka,"13.0223079, 77.5630278","12.8903965, 77.6273899",13.0223079,77.5630278,12.8903965,77.6273899,16.18
Zolo Pune Warehouse_New,Zolo ACE,"Survey No. 15, Behind Mercedes Benz Showroom, Near Teerth Techno Space, Baner, Pune-411045",Pune,Maharashtra,"18.5638169, 73.76643179999999","18.6124747, 73.71542149999999",18.5638169,73.7664318,18.6124747,73.7154215,7.62
Zolo Chennai Warehouse_2,Zolo Eva,"Rajankuppam Road, Off Vanagaram - Ambattur Road,Ayanambakkam, Chennai, Tamil Nadu 600095",Chennai,Tamil Nadu,"13.0737532, 80.1537281","13.0675449, 80.1491821",13.0737532,80.1537281,13.0675449,80.1491821,0.85
Zolo Pune Warehouse_New,Zolo Fireflies,"“Meshvita”, survey nos. 25/1,Kirti gate no.02, Marunji, Hinjewadi,Pune, Maharashtra-411057",Pune,Maharashtra,#ERROR!,"18.6124747, 73.71542149999999",18.6124747,73.7154215,18.6124747,73.7154215,0.0
Zolo Pune Warehouse_New,Zolo Whooper,"Sr.No.62/1/1,Near Mamasaheb Mohol,Highschool,Sunil Nagar,Behind Mahalunge Balewadi Sports Complex,Mahalunge,Pune - 411045",Pune,Maharashtra,"18.5713728, 73.75854199999999","18.6124747, 73.71542149999999",18.5713728,73.758542,18.6124747,73.7154215,6.44
Zolo Pune Warehouse_New,Zolo Helix,"Archana Cooperative housing Society, 19, Konark Nagar, Mhada Colony, Clover Park, Viman Nagar, Pune, Maharashtra -411014",Pune,Maharashtra,"18.5663058, 73.9127347","18.6124747, 73.71542149999999",18.5663058,73.9127347,18.6124747,73.7154215,21.44
Zolo Chennai Warehouse_2,Zolo Inspire,"Porur,76,Kundrathur Main Rd,MS Nagar,Madhanandapuram,Tamil Nadu,Chennai - 600116",Chennai,Tamil Nadu,"13.0241286, 80.1479064","13.0675449, 80.1491821",13.0241286,80.1479064,13.0675449,80.1491821,4.81
Zolo Pune Warehouse_New,Zolo Velocity,"Green Homes, Sr. No 147/5, Parkhiwasti, Mann Bhoirwadi, Mann gaon,Pune, Maharashtra- 412115",Pune,Maharashtra,"18.5860454, 73.6796818","18.6124747, 73.71542149999999",18.5860454,73.6796818,18.6124747,73.7154215,4.77
Zolo Faridabad Warehouse,Zolo Ambience,"Plot No-619,Street No.6,Sector-27,U.P,Noida - 201301",Noida,Uttar Pradesh,"28.5728241, 77.32557740000001","28.4586177, 77.3070471",28.5728241,77.3255774,28.4586177,77.3070471,12.79
Zolo Faridabad Warehouse,Zolo Today Homes,"Sector 135,Noida",Noida,Uttar Pradesh,"28.4986092, 77.3999054","28.4586177, 77.3070471",28.4986092,77.3999054,28.4586177,77.3070471,10.12
Zolo Faridabad Warehouse,Zolo White,"Khasra No 146 (KH),Behind Vishal Mega Mart,Sector 66,Vill Mamura,Noida - 201301",Noida,Uttar Pradesh,"28.6026361, 77.3769437","28.4586177, 77.3070471",28.6026361,77.3769437,28.4586177,77.3070471,17.37
Zolo Pune Warehouse_New,Zolo Crown A,"Zolo Crown ,Sr. No.30 ,Near VIBGYOR School,Baner Sus Road,Pune - 411021",Pune,Maharashtra,"18.5587201, 73.7623313","18.6124747, 73.71542149999999",18.5587201,73.7623313,18.6124747,73.7154215,7.74
Zolo BLR_Singasandra WH,Zolo Vision,"M& N Pg ,8th cross street,Back Side,Anand Nagar,Aswath Nagar,kalamandhir,Karnataka ,Bangalore - 560037",Bangalore,Karnataka,"12.9597839, 77.7015194","12.8903965, 77.6273899",12.9597839,77.7015194,12.8903965,77.6273899,11.12
Zolo Chennai Warehouse_2,Zolo Spencer,"Veera Pandia Kattabomman St,Phase-1,New India Colony,Perungudi,Tamil Nadu,Chennai - 600096",Chennai,Tamil Nadu,"12.9592053, 80.2338712","13.0675449, 80.1491821",12.9592053,80.2338712,13.0675449,80.1491821,15.1
Zolo BLR_Singasandra WH,Zolo Phoenix,"Khata no. 1343/548, Jigani Hobli Anekal Taluk, Maragondahalli, Bengaluru, Bengaluru Urban, Karnataka, 560100",Bangalore,Karnataka,#ERROR!,"12.8903965, 77.6273899",12.8903965,77.6273899,12.8903965,77.6273899,0.0
Zolo Faridabad Warehouse,Zolo Espace,"A-54,Sector 100,Gautam Buddha Nagar,Uttar Pradesh,Noida - 201301",Noida,Uttar Pradesh,"28.5978743, 77.3568485","28.4586177, 77.3070471",28.5978743,77.3568485,28.4586177,77.3070471,16.19
